FindingID,RiskLevel,CheckType,DocumentNumbers,Amount,Currency,Account,CostCenter,PostingDate,User,Description,Recommendation
FND-0001,HIGH,Duplicate Posting,1800000001; 1800000002,15000,EUR,400000,KST-PROD-01,2025-03-01,JMUELLER,"Potential duplicate: Doc 1800000001 and 1800000002 — same amount (15000 EUR), account 400000, cost center KST-PROD-01, posted within 0 day(s).",Verify both documents are not double-posted. Check FBL3N for open items.
FND-0002,HIGH,Duplicate Posting,1800000004; 1800000005,3200,EUR,620000,KST-ADMIN,2025-03-05,AWEISS,"Potential duplicate: Doc 1800000004 and 1800000005 — same amount (3200 EUR), account 620000, cost center KST-ADMIN, posted within 0 day(s).",Verify both documents are not double-posted. Check FBL3N for open items.
FND-0004,HIGH,Round Amount — Period-End Accrual,1800000012,30000,EUR,481000,KST-PROD-01,2025-03-29,RHOFER,Round amount of 30000 EUR posted on 2025-03-29 (end of period) to accrual/deferral account 481000. High risk of unsupported estimate.,Request supporting calculation for accrual. Verify reversal is scheduled.
FND-0009,HIGH,Missing Documentation,1800000013,10000,EUR,410000,KST-ADMIN,2025-03-29,RHOFER,"Large manual posting 1800000013 of 10000 EUR has no vendor, customer, or reference document. Manual journal entry above threshold with no traceable source document.",Verify supporting documentation. Check if posting requires dual control.
FND-0010,HIGH,Backdated Posting,1800000015,4500,EUR,470000,KST-IT,2025-03-01,JMUELLER,Document 1800000015 was entered on 2025-03-30 but backdated to 2025-03-01 (29 days earlier).,Verify business justification for backdating. Check period-lock settings.
FND-0011,HIGH,Missing Documentation,1800000016,185000.5,EUR,182000,,2025-03-15,KFISCHER,"Large manual posting 1800000016 of 185000.5 EUR has no vendor, customer, or reference document. Manual journal entry above threshold with no traceable source document.",Verify supporting documentation. Check if posting requires dual control.
FND-0012,HIGH,Backdated Posting,1800000032,18500,EUR,500000,KST-PROD-01,2025-01-15,LBRAUN,Document 1800000032 was entered on 2025-03-30 but backdated to 2025-01-15 (74 days earlier).,Verify business justification for backdating. Check period-lock settings.
FND-0015,HIGH,Intercompany — No Reference,1800000016,185000.5,EUR,182000,,2025-03-15,KFISCHER,Intercompany posting 1800000016 of 185000.5 EUR on account 182000 has no reference or partner company indicator.,Verify corresponding entry in partner company code. Use F.13 for reconciliation.
FND-0005,MEDIUM,Round Amount — Period-End,1800000013,10000,EUR,410000,KST-ADMIN,2025-03-29,RHOFER,Round amount of 10000 EUR posted in last days of period to account 410000.,"Verify posting is based on actual document, not estimate."
FND-0006,MEDIUM,Round Amount — Period-End,1800000014,75000,EUR,100000,,2025-03-30,HRUSER,Round amount of 75000 EUR posted in last days of period to account 100000.,"Verify posting is based on actual document, not estimate."
FND-0008,MEDIUM,Round Amount — Period-End,1800000031,250000,EUR,170000,,2025-03-30,JMUELLER,Round amount of 250000 EUR posted in last days of period to account 170000.,"Verify posting is based on actual document, not estimate."
FND-0013,MEDIUM,GR/IR Open Item,1800000009,45000,EUR,191100,,2025-03-20,LBRAUN,"GR/IR account 191100 shows uncleared balance of 45000.00 EUR for reference GR-2025-0089, open for 352 days.",Review GRIR clearing account. Post missing goods receipt or invoice.
FND-0014,MEDIUM,GR/IR Open Item,1800000010,-45000,EUR,191100,,2025-03-20,LBRAUN,"GR/IR account 191100 shows uncleared balance of 45000.00 EUR for reference IR-2025-0089, open for 352 days.",Review GRIR clearing account. Post missing goods receipt or invoice.
FND-0003,LOW,Round Amount — Accrual Account,1800000011,50000,EUR,480000,KST-MGMT,2025-03-28,RHOFER,Round amount of 50000 EUR on accrual account 480000. Verify against accrual schedule.,Cross-check with accruals register.
FND-0007,LOW,Round Amount — Accrual Account,1800000021,100000,EUR,489000,KST-PROD-02,2025-03-28,RHOFER,Round amount of 100000 EUR on accrual account 489000. Verify against accrual schedule.,Cross-check with accruals register.