ID,Emotion,Variant,Description,Filename,Prompt,Status
001,Base,v1,Standard,shutiao_base.png,gentle smile looking at viewer,Done
002,Happy,v1,Smile,shutiao_happy.png,big happy smile eyes closed,Done
003,Happy,v2,Peace,shutiao_happy_v2.png,happy wink peace sign hand gesture,Done
004,Happy,v3,Giggle,shutiao_happy_v3.png,shy happy smile hand covering mouth giggling,Done
005,Happy,v4,Heart,shutiao_happy_v4.png,happy smile making heart shape with hands,Done
006,Happy,v5,Excited,shutiao_happy_v5.png,very excited expression fists pumped,Done
007,Angry,v1,Pout,shutiao_angry.png,angry face pouting,Done
008,Angry,v2,Crossed,shutiao_angry_v2.png,angry expression arms crossed looking away,Done
009,Angry,v3,Scold,shutiao_angry_v3.png,stern face pointing finger scolding,Done
010,Angry,v4,Fuming,shutiao_angry_v4.png,furious expression steam coming out ears style,Done
011,Angry,v5,Annoyed,shutiao_angry_v5.png,annoyed expression rolling eyes,Done
012,Shy,v1,Blush,shutiao_shy.png,shy face blushing,Done
013,Shy,v2,Hide,shutiao_shy_v2.png,very shy hands covering face peeking,Done
014,Shy,v3,Fingers,shutiao_shy_v3.png,shy expression poking index fingers together,Done
015,Shy,v4,Down,shutiao_shy_v4.png,shy looking down avoiding eye contact,Done
016,Shy,v5,Surprised,shutiao_shy_v5.png,shy surprised expression hand on chest,Done
017,Think,v1,Hmm,shutiao_think.png,thinking face hand on chin,Done
018,Think,v2,Idea,shutiao_think_v2.png,surprised realization index finger up idea,Done
019,Think,v3,Confused,shutiao_think_v3.png,confused thinking expression tilting head,Done
020,Think,v4,Search,shutiao_think_v4.png,looking around searching expression,Done
021,Think,v5,Smart,shutiao_think_v5.png,smug thinking expression tapping temple,Done
022,Sad,v1,Cry,shutiao_sad.png,crying face tears falling,Done
023,Sad,v2,Wipe,shutiao_sad_v2.png,sad expression wiping tears with hand,Done
024,Sad,v3,Gloom,shutiao_sad_v3.png,gloomy expression dark cloud overhead style,Done
025,Sad,v4,Plead,shutiao_sad_v4.png,pleading face puppy eyes,Done
026,Sad,v5,HeadDown,shutiao_sad_v5.png,sad depression head down,Done
027,Action,v1,Wave,shutiao_wave.png,friendly waving hand greeting,Done
028,Action,v2,Bow,shutiao_bow.png,polite bowing gesture,Done
029,Action,v3,Eat,shutiao_eat.png,eating a french fry happy,Done
030,Action,v4,Sleep,shutiao_sleep.png,sleeping face zzz symbol,Done