id,name,level,parent_id,parent_name,path,classification,decision_basis
1,航空航天,1,,,航空航天,,
1-1,研发设计,2,1,航空航天,航空航天/研发设计,,
1-1-1,航空研发设计,3,1-1,研发设计,航空航天/研发设计/航空研发设计,,
1-1-1-1,总体设计,4,1-1-1,航空研发设计,航空航天/研发设计/航空研发设计/总体设计,,
1-1-1-1-1,气动设计,5,1-1-1-1,总体设计,航空航天/研发设计/航空研发设计/总体设计/气动设计,,
1-1-1-1-1-1,翼型设计,6,1-1-1-1-1,气动设计,航空航天/研发设计/航空研发设计/总体设计/气动设计/翼型设计,,
1-1-1-1-1-2,机身气动优化,6,1-1-1-1-1,气动设计,航空航天/研发设计/航空研发设计/总体设计/气动设计/机身气动优化,,
1-1-1-1-1-3,进气道设计,6,1-1-1-1-1,气动设计,航空航天/研发设计/航空研发设计/总体设计/气动设计/进气道设计,,
1-1-1-1-1-4,尾翼气动设计,6,1-1-1-1-1,气动设计,航空航天/研发设计/航空研发设计/总体设计/气动设计/尾翼气动设计,,
1-1-1-1-1-5,短舱气动设计,6,1-1-1-1-1,气动设计,航空航天/研发设计/航空研发设计/总体设计/气动设计/短舱气动设计,,
1-1-1-1-1-6,气动噪声分析,6,1-1-1-1-1,气动设计,航空航天/研发设计/航空研发设计/总体设计/气动设计/气动噪声分析,,
1-1-1-1-2,布局设计,5,1-1-1-1,总体设计,航空航天/研发设计/航空研发设计/总体设计/布局设计,,
1-1-1-1-2-1,翼身布局,6,1-1-1-1-2,布局设计,航空航天/研发设计/航空研发设计/总体设计/布局设计/翼身布局,,
1-1-1-1-2-2,尾翼布局,6,1-1-1-1-2,布局设计,航空航天/研发设计/航空研发设计/总体设计/布局设计/尾翼布局,,
1-1-1-1-2-3,发动机布局,6,1-1-1-1-2,布局设计,航空航天/研发设计/航空研发设计/总体设计/布局设计/发动机布局,,
1-1-1-1-2-4,起落架布局,6,1-1-1-1-2,布局设计,航空航天/研发设计/航空研发设计/总体设计/布局设计/起落架布局,,
1-1-1-1-3,性能分析,5,1-1-1-1,总体设计,航空航天/研发设计/航空研发设计/总体设计/性能分析,,
1-1-1-1-3-1,飞行性能计算,6,1-1-1-1-3,性能分析,航空航天/研发设计/航空研发设计/总体设计/性能分析/飞行性能计算,,
1-1-1-1-3-2,操稳特性分析,6,1-1-1-1-3,性能分析,航空航天/研发设计/航空研发设计/总体设计/性能分析/操稳特性分析,,
1-1-1-1-3-3,载荷分析,6,1-1-1-1-3,性能分析,航空航天/研发设计/航空研发设计/总体设计/性能分析/载荷分析,,
1-1-1-1-3-4,重量估算,6,1-1-1-1-3,性能分析,航空航天/研发设计/航空研发设计/总体设计/性能分析/重量估算,,
1-1-1-2,结构设计,4,1-1-1,航空研发设计,航空航天/研发设计/航空研发设计/结构设计,,
1-1-1-2-1,机体结构设计,5,1-1-1-2,结构设计,航空航天/研发设计/航空研发设计/结构设计/机体结构设计,,
1-1-1-2-1-1,机翼结构设计,6,1-1-1-2-1,机体结构设计,航空航天/研发设计/航空研发设计/结构设计/机体结构设计/机翼结构设计,,
1-1-1-2-1-2,机身结构设计,6,1-1-1-2-1,机体结构设计,航空航天/研发设计/航空研发设计/结构设计/机体结构设计/机身结构设计,,
1-1-1-2-1-3,尾翼结构设计,6,1-1-1-2-1,机体结构设计,航空航天/研发设计/航空研发设计/结构设计/机体结构设计/尾翼结构设计,,
1-1-1-2-1-4,舱门结构设计,6,1-1-1-2-1,机体结构设计,航空航天/研发设计/航空研发设计/结构设计/机体结构设计/舱门结构设计,,
1-1-1-2-2,强度设计,5,1-1-1-2,结构设计,航空航天/研发设计/航空研发设计/结构设计/强度设计,,
1-1-1-2-2-1,静强度分析,6,1-1-1-2-2,强度设计,航空航天/研发设计/航空研发设计/结构设计/强度设计/静强度分析,,
1-1-1-2-2-2,疲劳分析,6,1-1-1-2-2,强度设计,航空航天/研发设计/航空研发设计/结构设计/强度设计/疲劳分析,,
1-1-1-2-2-3,损伤容限分析,6,1-1-1-2-2,强度设计,航空航天/研发设计/航空研发设计/结构设计/强度设计/损伤容限分析,,
1-1-1-2-2-4,热强度分析,6,1-1-1-2-2,强度设计,航空航天/研发设计/航空研发设计/结构设计/强度设计/热强度分析,,
1-1-1-2-3,连接设计,5,1-1-1-2,结构设计,航空航天/研发设计/航空研发设计/结构设计/连接设计,,
1-1-1-2-3-1,紧固件设计,6,1-1-1-2-3,连接设计,航空航天/研发设计/航空研发设计/结构设计/连接设计/紧固件设计,,
1-1-1-2-3-2,焊接设计,6,1-1-1-2-3,连接设计,航空航天/研发设计/航空研发设计/结构设计/连接设计/焊接设计,,
1-1-1-2-3-3,胶接设计,6,1-1-1-2-3,连接设计,航空航天/研发设计/航空研发设计/结构设计/连接设计/胶接设计,,
1-1-1-2-3-4,铆接设计,6,1-1-1-2-3,连接设计,航空航天/研发设计/航空研发设计/结构设计/连接设计/铆接设计,,
1-1-1-3,动力系统设计,4,1-1-1,航空研发设计,航空航天/研发设计/航空研发设计/动力系统设计,,
1-1-1-3-1,涡扇发动机设计,5,1-1-1-3,动力系统设计,航空航天/研发设计/航空研发设计/动力系统设计/涡扇发动机设计,,
1-1-1-3-1-1,风扇设计,6,1-1-1-3-1,涡扇发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡扇发动机设计/风扇设计,,
1-1-1-3-1-2,压气机设计,6,1-1-1-3-1,涡扇发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡扇发动机设计/压气机设计,,
1-1-1-3-1-3,燃烧室设计,6,1-1-1-3-1,涡扇发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡扇发动机设计/燃烧室设计,,
1-1-1-3-1-4,涡轮设计,6,1-1-1-3-1,涡扇发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡扇发动机设计/涡轮设计,,
1-1-1-3-1-5,喷管设计,6,1-1-1-3-1,涡扇发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡扇发动机设计/喷管设计,,
1-1-1-3-2,涡喷发动机设计,5,1-1-1-3,动力系统设计,航空航天/研发设计/航空研发设计/动力系统设计/涡喷发动机设计,,
1-1-1-3-2-1,压气机设计,6,1-1-1-3-2,涡喷发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡喷发动机设计/压气机设计,,
1-1-1-3-2-2,燃烧室设计,6,1-1-1-3-2,涡喷发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡喷发动机设计/燃烧室设计,,
1-1-1-3-2-3,涡轮设计,6,1-1-1-3-2,涡喷发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡喷发动机设计/涡轮设计,,
1-1-1-3-2-4,加力燃烧室设计,6,1-1-1-3-2,涡喷发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡喷发动机设计/加力燃烧室设计,,
1-1-1-3-3,涡桨发动机设计,5,1-1-1-3,动力系统设计,航空航天/研发设计/航空研发设计/动力系统设计/涡桨发动机设计,,
1-1-1-3-3-1,压气机设计,6,1-1-1-3-3,涡桨发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡桨发动机设计/压气机设计,,
1-1-1-3-3-2,燃烧室设计,6,1-1-1-3-3,涡桨发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡桨发动机设计/燃烧室设计,,
1-1-1-3-3-3,涡轮设计,6,1-1-1-3-3,涡桨发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡桨发动机设计/涡轮设计,,
1-1-1-3-3-4,减速器设计,6,1-1-1-3-3,涡桨发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡桨发动机设计/减速器设计,,
1-1-1-3-3-5,螺旋桨设计,6,1-1-1-3-3,涡桨发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡桨发动机设计/螺旋桨设计,,
1-1-1-3-4,涡轴发动机设计,5,1-1-1-3,动力系统设计,航空航天/研发设计/航空研发设计/动力系统设计/涡轴发动机设计,,
1-1-1-3-4-1,压气机设计,6,1-1-1-3-4,涡轴发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡轴发动机设计/压气机设计,,
1-1-1-3-4-2,燃烧室设计,6,1-1-1-3-4,涡轴发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡轴发动机设计/燃烧室设计,,
1-1-1-3-4-3,涡轮设计,6,1-1-1-3-4,涡轴发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡轴发动机设计/涡轮设计,,
1-1-1-3-4-4,动力涡轮设计,6,1-1-1-3-4,涡轴发动机设计,航空航天/研发设计/航空研发设计/动力系统设计/涡轴发动机设计/动力涡轮设计,,
1-1-1-3-5,辅助动力系统设计,5,1-1-1-3,动力系统设计,航空航天/研发设计/航空研发设计/动力系统设计/辅助动力系统设计,,
1-1-1-3-5-1,APU设计,6,1-1-1-3-5,辅助动力系统设计,航空航天/研发设计/航空研发设计/动力系统设计/辅助动力系统设计/APU设计,,
1-1-1-3-5-2,燃油系统设计,6,1-1-1-3-5,辅助动力系统设计,航空航天/研发设计/航空研发设计/动力系统设计/辅助动力系统设计/燃油系统设计,,
1-1-1-3-5-3,滑油系统设计,6,1-1-1-3-5,辅助动力系统设计,航空航天/研发设计/航空研发设计/动力系统设计/辅助动力系统设计/滑油系统设计,,
1-1-1-3-5-4,起动系统设计,6,1-1-1-3-5,辅助动力系统设计,航空航天/研发设计/航空研发设计/动力系统设计/辅助动力系统设计/起动系统设计,,
1-1-1-4,航电系统设计,4,1-1-1,航空研发设计,航空航天/研发设计/航空研发设计/航电系统设计,,
1-1-1-4-1,飞控系统设计,5,1-1-1-4,航电系统设计,航空航天/研发设计/航空研发设计/航电系统设计/飞控系统设计,,
1-1-1-4-1-1,电传飞控设计,6,1-1-1-4-1,飞控系统设计,航空航天/研发设计/航空研发设计/航电系统设计/飞控系统设计/电传飞控设计,,
1-1-1-4-1-2,自动驾驶设计,6,1-1-1-4-1,飞控系统设计,航空航天/研发设计/航空研发设计/航电系统设计/飞控系统设计/自动驾驶设计,,
1-1-1-4-1-3,增稳系统设计,6,1-1-1-4-1,飞控系统设计,航空航天/研发设计/航空研发设计/航电系统设计/飞控系统设计/增稳系统设计,,
1-1-1-4-1-4,飞控计算机设计,6,1-1-1-4-1,飞控系统设计,航空航天/研发设计/航空研发设计/航电系统设计/飞控系统设计/飞控计算机设计,,
1-1-1-4-2,导航系统设计,5,1-1-1-4,航电系统设计,航空航天/研发设计/航空研发设计/航电系统设计/导航系统设计,,
1-1-1-4-2-1,惯性导航设计,6,1-1-1-4-2,导航系统设计,航空航天/研发设计/航空研发设计/航电系统设计/导航系统设计/惯性导航设计,,
1-1-1-4-2-2,卫星导航设计,6,1-1-1-4-2,导航系统设计,航空航天/研发设计/航空研发设计/航电系统设计/导航系统设计/卫星导航设计,,
1-1-1-4-2-3,无线电导航设计,6,1-1-1-4-2,导航系统设计,航空航天/研发设计/航空研发设计/航电系统设计/导航系统设计/无线电导航设计,,
1-1-1-4-2-4,组合导航设计,6,1-1-1-4-2,导航系统设计,航空航天/研发设计/航空研发设计/航电系统设计/导航系统设计/组合导航设计,,
1-1-1-4-3,通信系统设计,5,1-1-1-4,航电系统设计,航空航天/研发设计/航空研发设计/航电系统设计/通信系统设计,,
1-1-1-4-3-1,甚高频通信设计,6,1-1-1-4-3,通信系统设计,航空航天/研发设计/航空研发设计/航电系统设计/通信系统设计/甚高频通信设计,,
1-1-1-4-3-2,高频通信设计,6,1-1-1-4-3,通信系统设计,航空航天/研发设计/航空研发设计/航电系统设计/通信系统设计/高频通信设计,,
1-1-1-4-3-3,卫星通信设计,6,1-1-1-4-3,通信系统设计,航空航天/研发设计/航空研发设计/航电系统设计/通信系统设计/卫星通信设计,,
1-1-1-4-3-4,数据链设计,6,1-1-1-4-3,通信系统设计,航空航天/研发设计/航空研发设计/航电系统设计/通信系统设计/数据链设计,,
1-1-1-4-4,座舱显示设计,5,1-1-1-4,航电系统设计,航空航天/研发设计/航空研发设计/航电系统设计/座舱显示设计,,
1-1-1-4-4-1,HUD设计,6,1-1-1-4-4,座舱显示设计,航空航天/研发设计/航空研发设计/航电系统设计/座舱显示设计/HUD设计,,
1-1-1-4-4-2,多功能显示器设计,6,1-1-1-4-4,座舱显示设计,航空航天/研发设计/航空研发设计/航电系统设计/座舱显示设计/多功能显示器设计,,
1-1-1-4-4-3,综合显示系统设计,6,1-1-1-4-4,座舱显示设计,航空航天/研发设计/航空研发设计/航电系统设计/座舱显示设计/综合显示系统设计,,
1-1-1-4-4-4,告警系统设计,6,1-1-1-4-4,座舱显示设计,航空航天/研发设计/航空研发设计/航电系统设计/座舱显示设计/告警系统设计,,
1-1-1-5,试验验证,4,1-1-1,航空研发设计,航空航天/研发设计/航空研发设计/试验验证,,
1-1-1-5-1,风洞试验,5,1-1-1-5,试验验证,航空航天/研发设计/航空研发设计/试验验证/风洞试验,,
1-1-1-5-1-1,低速风洞试验,6,1-1-1-5-1,风洞试验,航空航天/研发设计/航空研发设计/试验验证/风洞试验/低速风洞试验,,
1-1-1-5-1-2,高速风洞试验,6,1-1-1-5-1,风洞试验,航空航天/研发设计/航空研发设计/试验验证/风洞试验/高速风洞试验,,
1-1-1-5-1-3,超音速风洞试验,6,1-1-1-5-1,风洞试验,航空航天/研发设计/航空研发设计/试验验证/风洞试验/超音速风洞试验,,
1-1-1-5-1-4,结冰风洞试验,6,1-1-1-5-1,风洞试验,航空航天/研发设计/航空研发设计/试验验证/风洞试验/结冰风洞试验,,
1-1-1-5-2,地面试验,5,1-1-1-5,试验验证,航空航天/研发设计/航空研发设计/试验验证/地面试验,,
1-1-1-5-2-1,静力试验,6,1-1-1-5-2,地面试验,航空航天/研发设计/航空研发设计/试验验证/地面试验/静力试验,,
1-1-1-5-2-2,疲劳试验,6,1-1-1-5-2,地面试验,航空航天/研发设计/航空研发设计/试验验证/地面试验/疲劳试验,,
1-1-1-5-2-3,振动试验,6,1-1-1-5-2,地面试验,航空航天/研发设计/航空研发设计/试验验证/地面试验/振动试验,,
1-1-1-5-2-4,鸟撞试验,6,1-1-1-5-2,地面试验,航空航天/研发设计/航空研发设计/试验验证/地面试验/鸟撞试验,,
1-1-1-5-3,飞行试验,5,1-1-1-5,试验验证,航空航天/研发设计/航空研发设计/试验验证/飞行试验,,
1-1-1-5-3-1,首飞验证,6,1-1-1-5-3,飞行试验,航空航天/研发设计/航空研发设计/试验验证/飞行试验/首飞验证,,
1-1-1-5-3-2,性能试飞,6,1-1-1-5-3,飞行试验,航空航天/研发设计/航空研发设计/试验验证/飞行试验/性能试飞,,
1-1-1-5-3-3,操稳试飞,6,1-1-1-5-3,飞行试验,航空航天/研发设计/航空研发设计/试验验证/飞行试验/操稳试飞,,
1-1-1-5-3-4,载荷试飞,6,1-1-1-5-3,飞行试验,航空航天/研发设计/航空研发设计/试验验证/飞行试验/载荷试飞,,
1-1-1-5-3-5,环境试飞,6,1-1-1-5-3,飞行试验,航空航天/研发设计/航空研发设计/试验验证/飞行试验/环境试飞,,
1-1-2,航天研发设计,3,1-1,研发设计,航空航天/研发设计/航天研发设计,,
1-1-2-1,总体设计,4,1-1-2,航天研发设计,航空航天/研发设计/航天研发设计/总体设计,,
1-1-2-1-1,轨道设计,5,1-1-2-1,总体设计,航空航天/研发设计/航天研发设计/总体设计/轨道设计,,
1-1-2-1-1-1,转移轨道设计,6,1-1-2-1-1,轨道设计,航空航天/研发设计/航天研发设计/总体设计/轨道设计/转移轨道设计,,
1-1-2-1-1-2,停泊轨道设计,6,1-1-2-1-1,轨道设计,航空航天/研发设计/航天研发设计/总体设计/轨道设计/停泊轨道设计,,
1-1-2-1-1-3,返回轨道设计,6,1-1-2-1-1,轨道设计,航空航天/研发设计/航天研发设计/总体设计/轨道设计/返回轨道设计,,
1-1-2-1-1-4,星座构型设计,6,1-1-2-1-1,轨道设计,航空航天/研发设计/航天研发设计/总体设计/轨道设计/星座构型设计,,
1-1-2-1-2,构型设计,5,1-1-2-1,总体设计,航空航天/研发设计/航天研发设计/总体设计/构型设计,,
1-1-2-1-2-1,火箭构型设计,6,1-1-2-1-2,构型设计,航空航天/研发设计/航天研发设计/总体设计/构型设计/火箭构型设计,,
1-1-2-1-2-2,航天器构型设计,6,1-1-2-1-2,构型设计,航空航天/研发设计/航天研发设计/总体设计/构型设计/航天器构型设计,,
1-1-2-1-2-3,分离方案设计,6,1-1-2-1-2,构型设计,航空航天/研发设计/航天研发设计/总体设计/构型设计/分离方案设计,,
1-1-2-1-2-4,对接口设计,6,1-1-2-1-2,构型设计,航空航天/研发设计/航天研发设计/总体设计/构型设计/对接口设计,,
1-1-2-1-3,任务分析,5,1-1-2-1,总体设计,航空航天/研发设计/航天研发设计/总体设计/任务分析,,
1-1-2-1-3-1,运载能力分析,6,1-1-2-1-3,任务分析,航空航天/研发设计/航天研发设计/总体设计/任务分析/运载能力分析,,
1-1-2-1-3-2,入轨精度分析,6,1-1-2-1-3,任务分析,航空航天/研发设计/航天研发设计/总体设计/任务分析/入轨精度分析,,
1-1-2-1-3-3,寿命分析,6,1-1-2-1-3,任务分析,航空航天/研发设计/航天研发设计/总体设计/任务分析/寿命分析,,
1-1-2-1-3-4,可靠性分析,6,1-1-2-1-3,任务分析,航空航天/研发设计/航天研发设计/总体设计/任务分析/可靠性分析,,
1-1-2-2,结构设计,4,1-1-2,航天研发设计,航空航天/研发设计/航天研发设计/结构设计,,
1-1-2-2-1,箭体结构设计,5,1-1-2-2,结构设计,航空航天/研发设计/航天研发设计/结构设计/箭体结构设计,,
1-1-2-2-1-1,贮箱设计,6,1-1-2-2-1,箭体结构设计,航空航天/研发设计/航天研发设计/结构设计/箭体结构设计/贮箱设计,,
1-1-2-2-1-2,级间段设计,6,1-1-2-2-1,箭体结构设计,航空航天/研发设计/航天研发设计/结构设计/箭体结构设计/级间段设计,,
1-1-2-2-1-3,整流罩设计,6,1-1-2-2-1,箭体结构设计,航空航天/研发设计/航天研发设计/结构设计/箭体结构设计/整流罩设计,,
1-1-2-2-1-4,尾段设计,6,1-1-2-2-1,箭体结构设计,航空航天/研发设计/航天研发设计/结构设计/箭体结构设计/尾段设计,,
1-1-2-2-2,航天器结构设计,5,1-1-2-2,结构设计,航空航天/研发设计/航天研发设计/结构设计/航天器结构设计,,
1-1-2-2-2-1,承力筒设计,6,1-1-2-2-2,航天器结构设计,航空航天/研发设计/航天研发设计/结构设计/航天器结构设计/承力筒设计,,
1-1-2-2-2-2,太阳翼结构设计,6,1-1-2-2-2,航天器结构设计,航空航天/研发设计/航天研发设计/结构设计/航天器结构设计/太阳翼结构设计,,
1-1-2-2-2-3,天线结构设计,6,1-1-2-2-2,航天器结构设计,航空航天/研发设计/航天研发设计/结构设计/航天器结构设计/天线结构设计,,
1-1-2-2-2-4,舱段结构设计,6,1-1-2-2-2,航天器结构设计,航空航天/研发设计/航天研发设计/结构设计/航天器结构设计/舱段结构设计,,
1-1-2-2-3,机构设计,5,1-1-2-2,结构设计,航空航天/研发设计/航天研发设计/结构设计/机构设计,,
1-1-2-2-3-1,分离机构设计,6,1-1-2-2-3,机构设计,航空航天/研发设计/航天研发设计/结构设计/机构设计/分离机构设计,,
1-1-2-2-3-2,展开机构设计,6,1-1-2-2-3,机构设计,航空航天/研发设计/航天研发设计/结构设计/机构设计/展开机构设计,,
1-1-2-2-3-3,锁定机构设计,6,1-1-2-2-3,机构设计,航空航天/研发设计/航天研发设计/结构设计/机构设计/锁定机构设计,,
1-1-2-2-3-4,对接机构设计,6,1-1-2-2-3,机构设计,航空航天/研发设计/航天研发设计/结构设计/机构设计/对接机构设计,,
1-1-2-3,动力系统设计,4,1-1-2,航天研发设计,航空航天/研发设计/航天研发设计/动力系统设计,,
1-1-2-3-1,液体火箭发动机设计,5,1-1-2-3,动力系统设计,航空航天/研发设计/航天研发设计/动力系统设计/液体火箭发动机设计,,
1-1-2-3-1-1,推力室设计,6,1-1-2-3-1,液体火箭发动机设计,航空航天/研发设计/航天研发设计/动力系统设计/液体火箭发动机设计/推力室设计,,
1-1-2-3-1-2,涡轮泵设计,6,1-1-2-3-1,液体火箭发动机设计,航空航天/研发设计/航天研发设计/动力系统设计/液体火箭发动机设计/涡轮泵设计,,
1-1-2-3-1-3,燃气发生器设计,6,1-1-2-3-1,液体火箭发动机设计,航空航天/研发设计/航天研发设计/动力系统设计/液体火箭发动机设计/燃气发生器设计,,
1-1-2-3-1-4,喷注器设计,6,1-1-2-3-1,液体火箭发动机设计,航空航天/研发设计/航天研发设计/动力系统设计/液体火箭发动机设计/喷注器设计,,
1-1-2-3-2,固体火箭发动机设计,5,1-1-2-3,动力系统设计,航空航天/研发设计/航天研发设计/动力系统设计/固体火箭发动机设计,,
1-1-2-3-2-1,药柱设计,6,1-1-2-3-2,固体火箭发动机设计,航空航天/研发设计/航天研发设计/动力系统设计/固体火箭发动机设计/药柱设计,,
1-1-2-3-2-2,壳体设计,6,1-1-2-3-2,固体火箭发动机设计,航空航天/研发设计/航天研发设计/动力系统设计/固体火箭发动机设计/壳体设计,,
1-1-2-3-2-3,喷管设计,6,1-1-2-3-2,固体火箭发动机设计,航空航天/研发设计/航天研发设计/动力系统设计/固体火箭发动机设计/喷管设计,,
1-1-2-3-2-4,点火装置设计,6,1-1-2-3-2,固体火箭发动机设计,航空航天/研发设计/航天研发设计/动力系统设计/固体火箭发动机设计/点火装置设计,,
1-1-2-3-3,电推进设计,5,1-1-2-3,动力系统设计,航空航天/研发设计/航天研发设计/动力系统设计/电推进设计,,
1-1-2-3-3-1,离子推力器设计,6,1-1-2-3-3,电推进设计,航空航天/研发设计/航天研发设计/动力系统设计/电推进设计/离子推力器设计,,
1-1-2-3-3-2,霍尔推力器设计,6,1-1-2-3-3,电推进设计,航空航天/研发设计/航天研发设计/动力系统设计/电推进设计/霍尔推力器设计,,
1-1-2-3-3-3,电弧推力器设计,6,1-1-2-3-3,电推进设计,航空航天/研发设计/航天研发设计/动力系统设计/电推进设计/电弧推力器设计,,
1-1-2-3-3-4,脉冲等离子体推力器设计,6,1-1-2-3-3,电推进设计,航空航天/研发设计/航天研发设计/动力系统设计/电推进设计/脉冲等离子体推力器设计,,
1-1-2-3-4,姿轨控设计,5,1-1-2-3,动力系统设计,航空航天/研发设计/航天研发设计/动力系统设计/姿轨控设计,,
1-1-2-3-4-1,姿控发动机设计,6,1-1-2-3-4,姿轨控设计,航空航天/研发设计/航天研发设计/动力系统设计/姿轨控设计/姿控发动机设计,,
1-1-2-3-4-2,轨控发动机设计,6,1-1-2-3-4,姿轨控设计,航空航天/研发设计/航天研发设计/动力系统设计/姿轨控设计/轨控发动机设计,,
1-1-2-3-4-3,推力器布局设计,6,1-1-2-3-4,姿轨控设计,航空航天/研发设计/航天研发设计/动力系统设计/姿轨控设计/推力器布局设计,,
1-1-2-3-4-4,推进剂管理设计,6,1-1-2-3-4,姿轨控设计,航空航天/研发设计/航天研发设计/动力系统设计/姿轨控设计/推进剂管理设计,,
