Category,Name,Description,Usage,State_Variants,CSS_Variables,Code_Snippet,Accessibility_Note,Best_Practices
Atom,Button Primary,High-emphasis action button,"Main call-to-actions, submit forms",Hover/Active/Disabled,--primary-btn-bg,"<button className=""bg-primary hover:bg-primary-600 text-white font-bold py-2 px-4 rounded shadow-lg transition-all"">Action</button>","Ensure min 44x44px touch target. Label must describe action.","Use only one primary button per screen context."
Atom,Button Secondary,Medium-emphasis button,"Cancel, Back, Secondary options",Hover/Active/Disabled,--secondary-btn-bg,"<button className=""bg-transparent border-2 border-slate-200 hover:border-slate-300 text-slate-700 font-semibold py-2 px-4 rounded transition-colors"">Cancel</button>","Contrast ratio must be 4.5:1 against background.","Use for negative or alternative actions."
Atom,Button Ghost,Low-emphasis button,"Icon-only actions, tertiary links",Hover/Active/Disabled,--ghost-btn-bg,"<button className=""text-slate-500 hover:bg-slate-100 p-2 rounded-full transition-colors""><Icon /></button>","Provide aria-label for icon-only buttons.","Great for toolbars and inline actions."
Atom,Input Text,Single-line text field,"User data entry, search",Focus/Error/Disabled,--input-border,"<input type=""text"" className=""w-full border-slate-200 focus:border-primary focus:ring-2 focus:ring-primary/20 rounded-lg px-4 py-2 outline-none transition-shadow"" placeholder=""Type here..."" />","Always associate with a <label>. Use aria-invalid for errors.","Include focus states for keyboard navigation."
Atom,Checkbox,Binary selection control,"Settings, multi-select lists",Checked/Unchecked/Indeterminate,--checkbox-color,"<input type=""checkbox"" className=""w-5 h-5 text-primary rounded border-slate-300 focus:ring-primary"" />","Use a fieldset for grouped checkboxes.","Label should be clickable to toggle."
Atom,Radio,Single selection from list," mutually exclusive options",Selected/Unselected,--radio-color,"<input type=""radio"" className=""w-5 h-5 text-primary border-gray-300 focus:ring-primary"" />","Group with role=""radiogroup"".","Default select the most common option."
Atom,Toggle,Instant on/off switch,"Feature activation, preferences",On/Off,--toggle-bg,"<div className=""w-11 h-6 bg-slate-200 peer-checked:bg-primary rounded-full relative after:content-[''] after:absolute after:top-[2px] after:left-[2px] after:bg-white after:rounded-full after:h-5 after:w-5 after:transition-all peer-checked:after:translate-x-full""></div>","Use role=""switch"" and aria-checked.","Immediate action, no save required."
Atom,Badge,Status indicator,"Labels, counts, status",Success/Warning/Error/Info,--badge-bg,"<span className=""inline-flex items-center px-2.5 py-0.5 rounded-full text-xs font-medium bg-primary-100 text-primary-800"">Badge</span>","Ensure text has sufficient contrast.","Use distinct colors for status (Green=Good, Red=Bad)."
Atom,Avatar,User profile image,"Comments, profile headers",Image/Initials/Icon,--avatar-size,"<img className=""inline-block h-10 w-10 rounded-full ring-2 ring-white"" src=""avatar.jpg"" alt=""User Name"" />","Alt text should differ based on context (decoration vs link).","Fallback to initials if image fails."
Atom,Tooltip,Contextual help text,"Icon explanations, truncated text",Visible/Hidden,--tooltip-bg,"<div className=""absolute bottom-full mb-2 bg-slate-900 text-white text-xs rounded py-1 px-2 shadow-lg"">Tooltip</div>","Trigger on hover and focus. Escape key should dismiss.","Don't put essential info in tooltips."
Molecule,Card,Container for related content,"Dashboard widgets, Product listings",Hover/Selected,--card-bg,"<div className=""bg-white rounded-xl shadow-sm border border-slate-100 p-6 hover:shadow-md transition-shadow"">Content</div>","Heading structure inside card should be logical.","Avoid cluttered content; use whitespace."
Molecule,Glass Card,Premium container,"Modern dashboards, overlays",Hover/Static,--glass-bg,"<div className=""backdrop-blur-xl bg-white/70 border border-white/20 shadow-xl rounded-2xl p-6"">Glass Content</div>","Ensure text contrast on transparent backgrounds.","Use mostly in dark mode or colorful backgrounds."
Molecule,Stats Widget,Display key metrics,"Dashboard summaries, KPIs",Trend Up/Down,--stat-value-color,"<div className=""p-6 bg-white rounded-xl border border-slate-100""><p className=""text-sm text-slate-500"">Revenue</p><p className=""text-2xl font-bold text-slate-900"">$24,000</p></div>","Use distinct headers for screen readers.","Show trend context (up/down) clearly."
Molecule,File Upload,Drag and drop zone,"Profile picture, Document submission",Dragging/Uploading/Done,--upload-border,"<div className=""border-2 border-dashed border-slate-300 rounded-lg p-12 text-center hover:border-primary cursor-pointer"">Drop files here</div>","Allow keyboard activation (Enter/Space).","Provide visual feedback during drag."
Molecule,Notification,Toast message,"System alerts, success messages",Visible/Dismissed,--toast-bg,"<div className=""fixed bottom-4 right-4 bg-white border-l-4 border-green-500 shadow-lg p-4 rounded"">Success!</div>","Use role=""status"" or ""alert"".","Auto-dismiss for success, persistent for errors."
Molecule,Search Bar,Input with search icon,"Global search, filter lists",Active/Filled,--search-bg,"<div className=""relative""><SearchIcon className=""absolute left-3 top-3 text-slate-400"" /><input className=""pl-10 w-full rounded-lg border-slate-200"" /></div>","Label as 'Search site'.","Debounce inputs for performance."
Molecule,Pagination,Navigation for lists,"Data tables, search results",Active Page/Disabled,--pagination-color,"<nav className=""flex space-x-2""><button className=""px-3 py-1 border rounded"">1</button></nav>","Identify current page with aria-current=""page"".","Show total pages context."
Molecule,Breadcrumbs,Hierarchy navigation,"Deeply nested pages",Current/Parent,--breadcrumb-color,"<nav aria-label=""Breadcrumb""><ol className=""flex space-x-2 text-slate-500""><li>Home</li><li>/</li><li>Settings</li></ol></nav>","Use nav element with aria-label.","Last item should be current page (text only)."
Molecule,Tabs,Content switcher,"Profile sections, settings groups",Active/Inactive,--tab-border,"<div className=""border-b border-slate-200""><button className=""border-b-2 border-primary text-primary px-4 py-2"">Tab 1</button></div>","Use role=""tablist"", ""tab"", ""tabpanel"".","Support keyboard arrow navigation."
Organism,Modal,Overlay dialog,"Critical alerts, simplified forms",Open/Closed,--modal-overlay,"<div className=""fixed inset-0 bg-black/50 flex items-center justify-center""><div className=""bg-white rounded-lg p-6 max-w-md w-full"">Dialog</div></div>","Trap focus inside modal. Background click dismisses.","Use for interrupting flows only."
Organism,Drawer,Side panel overlay,"Mobile navigation, detailed filters",Open/Closed,--drawer-width,"<div className=""fixed inset-y-0 right-0 w-80 bg-white shadow-2xl transform transition-transform"">Drawer Content</div>","Trap focus. Close button is mandatory.","Good for filters or details without leaving context."
Organism,AI Chat Interface,Conversation view,"Chatbots, support agents",Typing/Sent/Received,--chat-bubble-bg,"<div className=""flex flex-col h-[500px] border rounded-xl""><div className=""flex-1 overflow-y-auto p-4 space-y-4""><div className=""bg-primary-50 p-3 rounded-lg self-end"">Hello</div></div></div>","Auto-scroll to bottom. Live region for new messages.","Differentiate user vs bot visually."
Organism,Data Table,Complex row/column data,"Admin dashboards, user lists",Sort/Filter/Pagination,--table-header-bg,"<table className=""min-w-full divide-y divide-slate-200""><thead className=""bg-slate-50""><tr><th>Name</th></tr></thead></table>","Use th scope attributes. Keyboard sortable headers.","Sticky headers for long lists."
Organism,Navbar,Top navigation bar,"Site-wide links, branding",Sticky/Transparent,--nav-bg,"<header className=""sticky top-0 bg-white/80 backdrop-blur-md border-b border-slate-100 z-50""><nav className=""max-w-7xl mx-auto px-4 h-16 flex items-center"">Logo</nav></header>","Skip link inclusion recommended.","Responsive burger menu for mobile."
Organism,Sidebar,Vertical navigation,"App navigation, filters",Collapsed/Expanded,--sidebar-bg,"<aside className=""w-64 bg-slate-900 text-slate-300 h-screen fixed""><nav className=""p-4 space-y-2""><a href=""#"" className=""block p-2 hover:bg-slate-800 rounded"">Home</a></nav></aside>","Identify as navigation landmark.","Collapse state uses aria-expanded."
Organism,Footer,Bottom navigation,"Copyright, sitemap, social links",Default,--footer-bg,"<footer className=""bg-slate-50 border-t border-slate-200 py-12""><div className=""grid grid-cols-4 gap-8 max-w-7xl mx-auto px-4"">Links</div></footer>","Group links logically.","Include essential legal links."
Molecule,Pricing Card,Subscription tier display,"Landing pages, pricing sections",Highlighted/Standard,--pricing-card-bg,"<div className=""border border-slate-200 rounded-2xl p-8 hover:border-primary hover:shadow-xl transition-all relative""><span className=""absolute top-0 right-0 bg-primary text-white px-3 py-1 rounded-bl-xl rounded-tr-xl text-sm"">Popular</span><h3>Pro</h3></div>","Highlight 'Best Value' explicitly.","Clear distinct CTA buttons."
Molecule,Feature Grid,Grid of benefit items,"Landing pages, product features",Hover/Static,--feature-icon-bg,"<div className=""grid grid-cols-1 md:grid-cols-3 gap-8""><div className=""p-6 bg-slate-50 rounded-xl"">Icon</div></div>","Logical reading order.","Use list structure (ul/li)."
Molecule,Testimonial,User quote card,"Social proof, landing pages",Carousel/Grid,--testimonial-bg,"<figure className=""bg-white p-6 rounded-xl border border-slate-100 shadow-sm""><blockquote>Quote</blockquote><figcaption>User</figcaption></figure>","Use figure/figcaption for semantic value.","Pause auto-rotation on hover."
Molecule,Metric Card,Key value display,"Dashboards, analytics",Trend Up/Down,--metric-bg,"<div className=""bg-white p-6 rounded-xl border border-slate-100""><dt className=""text-sm font-medium text-slate-500"">Users</dt><dd className=""mt-1 text-3xl font-semibold text-slate-900"">71,897</dd></div>","Use dl/dt/dd for key-value pairs.","Trend colors needs text fallback."
Organism,Hero Section,Primary landing area,"Home page top, marketing",Default/Video/Image,--hero-bg,"<section className=""relative pt-32 pb-20 lg:pt-48 lg:pb-32 overflow-hidden bg-slate-900""><div className=""relative z-10 max-w-7xl mx-auto px-4 sm:px-6 lg:px-8 text-center""><h1>Headline</h1></div></section>","H1 must be unique.","Images need alt text or empty if decorative."
Organism,Mesh Gradient Hero,Premium Modern Hero,"SaaS, AI Startups",Default,--hero-mesh-bg,"<div className=""relative overflow-hidden bg-slate-900""><div className=""absolute top-[-10%] left-[-10%] w-[50%] h-[50%] bg-purple-500/30 blur-[120px] rounded-full mix-blend-screen""></div><div className=""relative z-10 container mx-auto"">Content</div></div>","Ensure text contrast over gradient.","Disable heavy blur for reduced motion users."
Organism,Stock Chart,Financial data visualization,"Fintech dashboards, trading",Candlestick/Line,--chart-line-color,"<div className=""h-64 w-full bg-slate-50 rounded-lg flex items-center justify-center text-slate-400"">[Chart Component]</div>","Provide data table alternative.","Use patterns/textures + color."
Organism,Transaction List,History of payments,"Banking apps, receipts",Pending/Completed,--list-row-hover,"<ul className=""divide-y divide-slate-100""><li className=""flex justify-between py-4 hover:bg-slate-50 px-4 -mx-4 rounded-lg transition-colors"">Item</li></ul>","Use table or list semantics.","Color code amounts (Green/Red) with symbols."
Organism,Credit Card,Virtual card display,"Wallet apps, checkout",Active/Frozen,--card-gradient,"<div className=""w-96 h-56 bg-gradient-to-br from-slate-900 to-slate-800 rounded-2xl p-6 text-white shadow-2xl relative overflow-hidden""><div className=""absolute top-0 right-0 p-6 opacity-20"">Logo</div></div>","Hide sensitive numbers.","Contrast on gradient background."
