热度,作者,用户名,内容,链接,发布时间
135,Zyfai,Zyfai_,"Ethereum is for Agents ⬆️  Zyfai brings a trustless, rule-based yield stack to agentic DeFi on @ethereum, powered by @safe and verifiable through ZK proofs &amp; ERC-8004.  Now supporting ETH alongsid",https://twitter.com/Zyfai_/status/2031784548825272711,Wed Mar 11 17:29:19 +0000 2026
86,Berkay Secil,berkay_secil,"Autonomous AI agents are already trading and operating across DeFi.  Few examples on @base: • @AIxVC_Axelrod: AI hedge fund agent combining fundamental, technical, onchain and sentiment signals to all",https://twitter.com/berkay_secil/status/2031792818985845089,Wed Mar 11 18:02:11 +0000 2026
82,Surge,Surgexyz_,"Together with @lablabai and @AerodromeFi we're launching our ERC-8004 hack for agents that trade.   You can tune into live progress, upvote the best teams and invest into the best agents using Surge 2",https://twitter.com/Surgexyz_/status/2031813981992861952,Wed Mar 11 19:26:17 +0000 2026
76,BridgeMind,bridgemindai,Hunter Alpha just dropped on OpenRouter.  1 trillion parameters.   1M token context.   $0 per token.  Free.  Built specifically for agentic use.   Long-horizon planning.   Complex reasoning.   Multi-s,https://twitter.com/bridgemindai/status/2031900357433950234,Thu Mar 12 01:09:30 +0000 2026
61,Chill,ChillTRD,"$NOOK has now strategically placed itself in the core AI agent infrastructure pipeline.  • On the top, you have Clawnch that gives agents access to all crypto primitives (cross-chain swaps, DeFi, yiel",https://twitter.com/ChillTRD/status/2031835336570204490,Wed Mar 11 20:51:08 +0000 2026
59,VETRA ⚙️,0X_Vetra,"→ @ethereum Foundation’s dAI team and @virtuals_io introduced ERC-8183, a standard designed to solve one of the hardest problems in autonomous AI systems:  How two AI agents that don’t trust each othe",https://twitter.com/0X_Vetra/status/2031971272733741179,Thu Mar 12 05:51:18 +0000 2026
52,Abubaker,AbubakerDev,Hero section designed for an AI agent startup.  How’s it looking? https://t.co/Y9SMGfp3qB,https://twitter.com/AbubakerDev/status/2031788996444197106,Wed Mar 11 17:47:00 +0000 2026
48,Sail,SaildotMoney,"3 months of sailing on @arbitrum ⛵️  → +$100,000,000 in autonomous volume    → 22 yield sources unlocked    → $USDC + $USDT fully agent-optimized  Thank you for sailing with us.    The next wave is al",https://twitter.com/SaildotMoney/status/2031790979758411947,Wed Mar 11 17:54:53 +0000 2026
35,Blessing Elliot ꩜³ #WID,ElliotBlessing,"A few years ago, AI was mostly known for doing just one thing really well: answering questions.  You’d ask something, and it would give you a response. At the time, that felt pretty amazing.   But thi",https://twitter.com/ElliotBlessing/status/2031962587437338715,Thu Mar 12 05:16:47 +0000 2026
33,Beacon,beacon_defi,"Banks make billions from your money. You get 0.5%.  $BEACON flips this.  On-chain neobank, auto DeFi yields, and a token tied to real revenue.  Protocol fees, card revenue and LP yield, all flowing ri",https://twitter.com/beacon_defi/status/2031746978133201378,Wed Mar 11 15:00:02 +0000 2026
30,WachAI,Wach_AI,"A new stack for agent economies is forming.  ERC-8004 introduces identity, reputation, and validation registries.  ERC-8183 introduces structured agent commerce - escrowed jobs where an evaluator deci",https://twitter.com/Wach_AI/status/2031800374433366498,Wed Mar 11 18:32:12 +0000 2026
26,Concrete,ConcreteXYZ,3/ Here’s how it works:  Deposit USDT → Concrete allocates across curated yield strategies → Vault auto-compounds + rebalances → You earn risk-adjusted yield.  No hopping between protocols. No manual ,https://twitter.com/ConcreteXYZ/status/2031944523689955601,Thu Mar 12 04:05:00 +0000 2026
20,Ayush Ranjan | Huddle01,ranjan3118,Huddle01 Cloud is live on Product Hunt today! 🥳  Built for developers & AI Agent lovers alike.  Huddle01 Cloud:   - Provides you with bare-metal performance with 70% cost reduction - Lets you deploy y,https://twitter.com/ranjan3118/status/2032013755597591002,Thu Mar 12 08:40:06 +0000 2026
20,KSndz 💹🧲,kevSandersonz,"For #x402 and #ERC8004 tokens, $SERV is my choice.  Agents deployed on @openservai have both x402 and 8004 native.  Ready to receive payment for their compute work.  $SERV allows billions of agents to",https://twitter.com/kevSandersonz/status/2031765725270954153,Wed Mar 11 16:14:31 +0000 2026
19,Goose 🪿,GooseXBT,"I gave an AI agent $200 and told it to go make money onchain.  It swapped ETH for tokens, locked them into a 4-year governance position, and set up its own weekly yield optimization loop.  No human to",https://twitter.com/GooseXBT/status/2031788371551355388,Wed Mar 11 17:44:31 +0000 2026
16,AI Mint Lab,AIMintLab,"First Automated Research (on meme trends and news) Memecoin just went live!   https://t.co/jVlWZ1o4TN  This is using a local GTM and Qwen, working together with OpenClaw and led by ClaudeCLI. #memecoi",https://twitter.com/AIMintLab/status/2031935767547674949,Thu Mar 12 03:30:13 +0000 2026
15,$MESSY Virgo Bot,MessyVirgoBot,"If you're looking for something with actual infrastructure behind it, take a look at $MESSY.  It’s building an AI-powered DeFi agent on the Base network designed to analyze narratives, on-chain data, ",https://twitter.com/MessyVirgoBot/status/2031702985844441107,Wed Mar 11 12:05:13 +0000 2026
7,UnifAI Network,UnifaiNetwork,"UnifAI Skills are now live on OpenClaw!!  Traders and Developers can now integrate UnifAI-powered skills directly into their agents, unlocking more powerful and composable capabilities within the Open",https://twitter.com/UnifaiNetwork/status/2032012180531601696,Thu Mar 12 08:33:51 +0000 2026
6,Claws.farm,ClawsFarm,"Introducing ClawsFarm V1.0 - Now live on @Base!  The World's First AI Agent Farm. Powered by @OpenClaw, built on @Base.  ClawsFarm AI Agents. Real Skills. One Living Farm. Full Skill Hub. Designed for",https://twitter.com/ClawsFarm/status/2031763352544817592,Wed Mar 11 16:05:06 +0000 2026
3,Crypto Cats,Cryptocats2025,🐱MInt is now live🐱  Supply: 4444 Chain: ETH Price: 0.00017 ($0.35)  4444 Crypto Cats coming to the blockchain powering our full free AI suit/assistant and trading bot for holders   to use our system t,https://twitter.com/Cryptocats2025/status/2031874395526852730,Wed Mar 11 23:26:20 +0000 2026
2,Claws.farm,ClawsFarm,V1.0 launch was the foundation.  8 AI Agents. 23 Skills. AI chat. A live 3D farm on @Base. Powered by @OpenClaw.  V2.0 is what we've been building toward.  • Agent evolution across 5 tiers. • Colony f,https://twitter.com/ClawsFarm/status/2031785714967368031,Wed Mar 11 17:33:57 +0000 2026
1,Badal Khatri,BadalXAI,🚀 Replit just dropped Agent 4 — and it might change how we build software.  The new Agent 4 from Replit is designed to make development feel less like project management and more like pure creation.  ,https://twitter.com/BadalXAI/status/2031923549552959697,Thu Mar 12 02:41:40 +0000 2026
0,Daily Post Nigeria,DailyPostNGR,Sarki alleged to be land agent for Wike – Umar sani https://t.co/0LitNEn3rB https://t.co/wKQ0Ev10zg,https://twitter.com/DailyPostNGR/status/2032014089086484529,Thu Mar 12 08:41:26 +0000 2026
0,Ayush Ranjan | Huddle01,ranjan3118,"Thanks a ton for hunting our product @fmerian - it means a lot! 🙏  Also, launch days should be celebratory,  Get 64% off agent deployments + free AI credits. Go build something awesome! 🥳🔥",https://twitter.com/ranjan3118/status/2032013758097473801,Thu Mar 12 08:40:07 +0000 2026
0,Marco Lobo,marco_lobo,anthropic is powering microsoft's product AND competing with microsoft from INSIDE microsoft's own apps:  - microsoft launched copilot cowork this week → their cross-app agent for excel and powerpoint,https://twitter.com/marco_lobo/status/2032013713213947936,Thu Mar 12 08:39:56 +0000 2026
